T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,m__hmdb00089,s__klebsiella_pneumoniae,0.5,0.4,0.1,0.2,0.004,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,m__hmdb00289,s__roseburia_inulinivorans,0.3,0.1,0.1,0.8,0.0024,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,m__hmdb00289,s__roseburia_intestinalis,0.3,0.1,0.1,0.5,0.0015,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00020,s__streptococcus_parasanguinis,0.3,0.5,0.1,0.1,0.0015,FALSE,TRUE,TRUE,FALSE
s__bacteroides_faecis,,g__glutamate_decarboxylase,m__hmdb02322,s__bacteroides_faecis,0.2,0.1,0.1,0.6,0.0012,FALSE,TRUE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__aspartate_ammonialyase,m__hmdb00630,s__streptococcus_parasanguinis,0.9,0.1,0.1,0.1,0.0009,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__aspartate_ammonialyase,m__hmdb00630,s__streptococcus_parasanguinis,0.1,0.1,0.1,0.4,0.0004,FALSE,TRUE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__rna_helicase,m__hmdb00043,s__bacteroides_thetaiotaomicron,0.4,0.1,0.1,0.1,0.0004,FALSE,TRUE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,m__hmdb00289,s__roseburia_intestinalis,0.3,0.1,0.1,0.1,0.0003,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__aspartate_ammonialyase,m__hmdb00289,s__roseburia_intestinalis,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,TRUE,FALSE
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00089,s__clostridium_clostridioforme,0.2,0.2,0.3,1,0.012,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00251,s__bacteroides_finegoldii,0.2,0.1,0.3,0.8,0.0048,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00251,s__bacteroides_xylanisolvens,0.3,0.1,0.5,0.2,0.003,FALSE,TRUE,FALSE,TRUE
s__bacteroides_xylanisolvens,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__bacteroides_ovatus,0.1,0.6,0.2,0.2,0.0024,FALSE,TRUE,FALSE,TRUE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00043,s__eubacterium_ventriosum,1,0.6,0.3,0.3,0.054,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.6,0.1,0.5,0.03,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__histidine_kinase,m__hmdb00043,s__eubacterium_ventriosum,0.2,0.2,0.3,0.9,0.0108,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__acetylcoa_cacetyltransferase,m__hmdb00289,s__roseburia_inulinivorans,0.9,0.2,0.1,0.5,0.009,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__acetylcoa_cacetyltransferase,m__hmdb00289,s__roseburia_inulinivorans,1,0.2,0.1,0.4,0.008,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__acetylcoa_cacetyltransferase,m__hmdb00619,s__bacteroides_stercoris,0.6,0.1,0.2,0.6,0.0072,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__glucose1phosphate_adenylyltransferase,m__hmdb00043,s__bacteroides_thetaiotaomicron,0.8,0.4,0.1,0.2,0.0064,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__ruminococcus_torques,1,0.3,0.2,0.1,0.006,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__fructosebisphosphate_aldolase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.5,0.3,0.1,0.4,0.006,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__faecalibacterium_prausnitzii,1,0.3,0.1,0.2,0.006,FALSE,TRUE,FALSE,FALSE
